source_cui,target_cui
C0450295,C2175117
C0450295,C2175118
C0450295,C2175165
C0450295,C2175138
C0450295,C2175164
C0450295,C2175114
C0450295,C2175142
C0450295,C2175139
C0450295,C2175141
C0450295,C2175162
C0450295,C2175115
C0450295,C2175116
C0450295,C2175140
C0450295,C2175163
C0450295,C2175186
C0450295,C2175189
C0450295,C2175187
C0450295,C2175188
C0450295,C2175215
C0450295,C2175214
C0450295,C2175210
C0450295,C2175211
C0450295,C2175236
C0450295,C2175235
C0450295,C2175213
C0450295,C2175212
C0450295,C2175239
C0450295,C2175240
C0450295,C2175238
C0450295,C2175237
C0450295,
C0450295,
C0450295,
C0450295,
C0450295,
C0450295,
C0450295,
C0450295,
C0450295,
C0450295,
C0450295,
C0450295,
C0450295,C2315668
C0450295,C2074051
C0450295,C2074025
C0450295,C2074055
C0450295,C2074020
C0450295,C2074026
C0450295,C2074049
C0450295,C2074022
C0450295,C2074052
C0450295,C2074054
C0450295,C2074024
C0450295,C2074053
C0450295,C2074023
C0450295,C2074091
C0450295,C2074123
C0450295,C2074118
C0450295,C2074124
C0450295,C2074122
C0450295,C2074121
C0450295,C2074158
C0450295,C2074161
C0450295,C2074159
C0450295,C2074155
C0450295,C2074160
C0450295,C2074456
C0450295,C2074486
C0450295,C2216371
C0450295,C2216384
C0450295,C2216376
C0450295,C2216371
C0450295,C1960677
C0450295,C2029282
C0450295,C2145114
C0450295,C2145116
C0450295,C2145111
C0450295,C2145115
C0450295,C2145113
C0450295,C2145147
C0450295,C2145148
C0450295,C2145146
C0450295,C2145143
C0450295,C2145145
C0450295,C1621353
C0450295,C1827223
C0450295,C5829999
C0450295,C1531941
C0450295,C1719777
C0450295,C1720180
C0450295,C1720452
C0450295,C1688643
C0450295,C1849409
C0450295,C1850938
C0450295,C1852767
C0450295,C1280716
C0450295,C1282148
C0450295,C1284755
C0450295,C1261331
C0450295,C0677628
C0450295,C0730056
C0450295,C0730272
C0450295,C0730271
C0450295,C0730275
C0450295,C0730284
C0450295,C0730286
C0450295,C0730294
C0450295,C0730295
C0450295,C0730317
C0450295,C0730316
C0450295,C0730362
C0450295,C0730365
C0450295,C0423419
